,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,,Versuchsplanung,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,Ursprungs-zeilen,Nr.,Versuch,Art d. Versuchs,Bezeichnung,Kamera,Objektiv,Licht-Farbe,Bilder pro Messung,Anz. Messungen,Komponente,Strahlführung,Target-Position,Anmerkung
3,,0,"- Schauen, ob die Kameras gleich auf der Grundplatte ausgerichtet sind (weniger Ausrichteaufwand/Fehlerpotenzial später --> td später überprüfen und ggf. jsutieren!)
- Die Objektive so ausrichten, dass Koax.-Licht nach oben zeigt
         - Für beide Kameras checken, da Gewinde nicht zwingend gleich ist!
- Die Komponenten auf den Haltern ausrichten
         - Sollten mittels Anschlag gut positioniert werden
         - Wahrscheinlich ist Positionierung bei 90°-Aufbau am sinnvollsten
         - Bei guter Ausrichtung, kann später alles ohne justieren durchgefühert werden (weniger Ausrichteaufwand/Fehlerpotenzial später --> td später überprüfen und ggf. jsutieren!)
- Zwischen jeder Messung (alle Versuche) die Achse einmal weg- und wieder hinbewegen (z.B. 50mm) --> kein Autofokus machen
- Darauf achten, dass die Lichter alle immer gleich eingebaut werden (grade und mittig)",,,,,,,,,,,,Vorbereitungen
4,,3,3,V003,Kamera-Setup Cam1,,U3-3800CP-C-HQ,1x,Grün,10,50,/,0°,Mittig,
5,,5,,,,,,,,,,,,,
6,,8,7,V007,Kamera-Setup Cam1,,U3-3800CP-C-HQ,2x,Grün,10,50,/,0°,Mittig,
7,,10,,,,,,,,,,,,,
8,,13,11,V011,Kamera-Setup Cam1,,U3-3800CP-C-HQ,3x,Grün,10,50,/,0°,Mittig,
9,,15,,,,,,,,,,,,,
10,,18,15,V015,Kamera-Setup Cam1,,U3-3800CP-C-HQ,4x,Grün,10,50,/,0°,Mittig,
11,,20,,,,,,,,,,,,,
12,,23,19,V019,Kamera-Setup Cam1,,U3-3800CP-C-HQ,4gx,Grün,10,50,/,0°,Mittig,
13,,25,,,,,,,,,,,,,"Kamera wechseln und ggf. das Target neu justieren. Im Idealfall wurde vorher schon alles so eingestellt, dass es direkt funktioniert."
14,,26,,,,,,,,,,,,,
15,,29,23,V023,Kamera-Setup Cam2,,U3-3800CP-M-GL,1x,Grün,10,50,/,0°,Mittig,
16,,31,,,,,,,,,,,,,
17,,34,27,V027,Kamera-Setup Cam2,,U3-3800CP-M-GL,2x,Grün,10,50,/,0°,Mittig,
18,,36,,,,,,,,,,,,,
19,,39,31,V031,Kamera-Setup Cam2,,U3-3800CP-M-GL,3x,Grün,10,50,/,0°,Mittig,
20,,41,,,,,,,,,,,,,
21,,44,35,V035,Kamera-Setup Cam2,,U3-3800CP-M-GL,4x,Grün,10,50,/,0°,Mittig,
22,,46,,,,,,,,,,,,,
23,,49,39,V039,Kamera-Setup Cam2,,U3-3800CP-M-GL,4gx,Grün,10,50,/,0°,Mittig,
24,,51,,,,,,,,,,,,,
25,,52,,,,,,,,,,,,,
